LoanID,IssueDate,IssueYear,IssueMonth,LoanAmount,Term_Months,InterestRate,Grade,Purpose,HomeOwnership,EmploymentLength,AnnualIncome,DTI,RevolvingUtilization,CreditHistoryYears,Delinquencies2Yrs,OpenAccounts,DefaultFlag,LoanStatus,DTI_Segment,RiskTier,HighRevolvingUtil,ThinFile,HighDTI,LoanToIncome,DefaultProbability,CapitalAtRisk
LC001012,2020-02-01,2020,2,10000,36,20.64,E,Vacation,OWN,3 years,25049,45.07,30.28,17.5,0,10,0,Fully Paid,DTI > 43% (Very High),Grade E/F (Critical),0,0,1,0.3992,0.3753,3753
LC001013,2023-03-01,2023,3,15000,36,9.69,B,Debt Consolidation,RENT,4 years,49995,20.83,56.25,19.6,0,7,0,Fully Paid,DTI 20-30% (Moderate),Grade A/B (Prime),0,0,0,0.3,0.0688,1032
LC001014,2024-02-01,2024,2,10000,60,8.15,B,Medical,MORTGAGE,7 years,42528,20.46,72.87,12.7,0,7,0,Fully Paid,DTI 20-30% (Moderate),Grade A/B (Prime),0,0,0,0.2351,0.1075,1075
LC001015,2023-01-01,2023,1,20000,36,9.82,B,Auto,RENT,4 years,33419,42.11,26.53,14.5,0,11,0,Fully Paid,DTI 30-43% (High),Grade A/B (Prime),0,0,0,0.5985,0.1429,2859
LC001016,2024-11-01,2024,11,10000,36,8.4,B,Debt Consolidation,RENT,9 years,49628,22.25,19.4,16.0,0,11,0,Fully Paid,DTI 20-30% (Moderate),Grade A/B (Prime),0,0,0,0.2015,0.062,620
LC001017,2022-05-01,2022,5,15000,36,12.2,C,Small Business,OWN,5 years,69269,41.72,30.57,16.1,1,5,0,Fully Paid,DTI 30-43% (High),Grade C/D (High),0,0,0,0.2165,0.2019,3028
LC001018,2019-06-01,2019,6,25000,36,11.63,C,Auto,RENT,< 1 year,53925,26.4,32.88,21.6,0,6,0,Fully Paid,DTI 20-30% (Moderate),Grade C/D (High),0,0,0,0.4636,0.1286,3215
LC001019,2020-07-01,2020,7,20000,36,8.8,B,Debt Consolidation,MORTGAGE,9 years,63164,23.42,24.75,18.2,1,6,0,Fully Paid,DTI 20-30% (Moderate),Grade A/B (Prime),0,0,0,0.3166,0.0787,1574
LC001020,2024-10-01,2024,10,15000,36,17.58,D,Medical,OWN,3 years,134149,13.41,44.19,20.0,1,7,0,Fully Paid,DTI < 20% (Low),Grade C/D (High),0,0,0,0.1118,0.185,2775
LC001021,2022-07-01,2022,7,15000,36,6.81,A,Debt Consolidation,MORTGAGE,5 years,45641,37.65,42.38,12.4,2,8,0,Fully Paid,DTI 30-43% (High),Grade A/B (Prime),0,0,0,0.3287,0.1194,1791
LC001022,2019-02-01,2019,2,20000,36,9.98,B,Auto,OWN,8 years,62266,46.86,46.31,14.2,0,7,0,Fully Paid,DTI > 43% (Very High),Grade A/B (Prime),0,0,1,0.3212,0.1628,3257
LC001023,2024-07-01,2024,7,5000,60,9.62,B,Vacation,RENT,4 years,41999,28.34,44.31,14.4,1,9,1,Charged Off,DTI 20-30% (Moderate),Grade A/B (Prime),0,0,0,0.1191,0.1002,501
LC001024,2022-02-01,2022,2,5000,60,11.92,C,Vacation,RENT,< 1 year,35483,45.4,29.02,11.3,1,9,1,Charged Off,DTI > 43% (Very High),Grade C/D (High),0,0,1,0.1409,0.2277,1138
LC001025,2024-02-01,2024,2,35000,36,21.14,E,Home Improvement,RENT,4 years,40439,18.94,36.73,5.5,1,9,0,Fully Paid,DTI < 20% (Low),Grade E/F (Critical),0,0,0,0.8655,0.3155,11042
LC001026,2022-12-01,2022,12,5000,36,8.58,B,Auto,MORTGAGE,10+ years,42643,31.2,58.28,4.7,0,11,1,Charged Off,DTI 30-43% (High),Grade A/B (Prime),0,0,0,0.1173,0.1453,726
LC001027,2019-06-01,2019,6,25000,36,13.86,C,Education,OWN,8 years,64844,21.35,26.38,8.0,0,14,0,Fully Paid,DTI 20-30% (Moderate),Grade C/D (High),0,0,0,0.3855,0.1294,3235
LC001028,2023-06-01,2023,6,35000,60,11.84,C,Home Improvement,RENT,8 years,175350,41.92,49.43,8.6,0,7,0,Fully Paid,DTI 30-43% (High),Grade C/D (High),0,0,0,0.1996,0.2099,7346
LC001029,2024-08-01,2024,8,10000,36,7.11,A,Education,MORTGAGE,7 years,37872,23.01,51.86,10.0,0,5,0,Fully Paid,DTI 20-30% (Moderate),Grade A/B (Prime),0,0,0,0.264,0.0478,478
LC001030,2019-05-01,2019,5,15000,36,17.51,D,Debt Consolidation,RENT,2 years,43989,30.21,46.96,14.5,0,9,0,Fully Paid,DTI 30-43% (High),Grade C/D (High),0,0,0,0.341,0.2153,3230
LC001031,2024-05-01,2024,5,20000,36,7.86,A,Small Business,MORTGAGE,5 years,52493,37.53,80.68,23.1,0,11,0,Fully Paid,DTI 30-43% (High),Grade A/B (Prime),1,0,0,0.381,0.1485,2970
LC001032,2020-10-01,2020,10,35000,36,6.07,A,Debt Consolidation,MORTGAGE,9 years,66032,43.31,48.73,6.5,0,7,0,Fully Paid,DTI > 43% (Very High),Grade A/B (Prime),0,0,1,0.53,0.1357,4751
LC001033,2021-01-01,2021,1,35000,36,27.37,F,Debt Consolidation,OWN,1 year,61807,45.32,49.77,11.8,1,5,0,Fully Paid,DTI > 43% (Very High),Grade E/F (Critical),0,0,1,0.5663,0.4959,17356
LC001034,2021-04-01,2021,4,25000,60,28.63,F,Debt Consolidation,MORTGAGE,3 years,102955,11.68,14.13,18.2,0,14,0,Fully Paid,DTI < 20% (Low),Grade E/F (Critical),0,0,0,0.2428,0.373,9325
LC001035,2024-01-01,2024,1,5000,36,20.91,E,Medical,RENT,3 years,18000,36.79,47.6,19.5,0,14,1,Charged Off,DTI 30-43% (High),Grade E/F (Critical),0,0,0,0.2778,0.3422,1711
LC001036,2022-10-01,2022,10,25000,36,7.97,B,Home Improvement,RENT,5 years,18000,28.22,58.9,16.9,0,9,0,Fully Paid,DTI 20-30% (Moderate),Grade A/B (Prime),0,0,0,1.3889,0.1037,2592
LC001037,2022-05-01,2022,5,15000,36,4.9,A,Medical,RENT,10+ years,42280,29.32,39.99,13.6,0,12,0,Fully Paid,DTI 20-30% (Moderate),Grade A/B (Prime),0,0,0,0.3548,0.0585,877
LC001038,2024-08-01,2024,8,20000,60,17.37,D,Debt Consolidation,RENT,< 1 year,93775,31.6,28.35,17.9,0,10,0,Fully Paid,DTI 30-43% (High),Grade C/D (High),0,0,0,0.2133,0.2194,4388
LC001039,2019-01-01,2019,1,5000,36,11.29,C,Home Improvement,RENT,6 years,24765,16.9,25.35,6.9,0,12,0,Fully Paid,DTI < 20% (Low),Grade C/D (High),0,0,0,0.2019,0.1273,636
LC001040,2019-03-01,2019,3,10000,36,6.1,A,Small Business,OWN,2 years,18000,33.98,77.91,17.7,1,8,0,Fully Paid,DTI 30-43% (High),Grade A/B (Prime),1,0,0,0.5556,0.1407,1407
LC001041,2019-01-01,2019,1,30000,60,13.15,C,Education,MORTGAGE,10+ years,72084,20.58,53.95,20.3,0,10,0,Fully Paid,DTI 20-30% (Moderate),Grade C/D (High),0,0,0,0.4162,0.1132,3397
LC001042,2023-06-01,2023,6,15000,60,6.55,A,Home Improvement,MORTGAGE,1 year,61195,14.91,48.31,18.1,0,8,0,Fully Paid,DTI < 20% (Low),Grade A/B (Prime),0,0,0,0.2451,0.02,300
LC001043,2022-10-01,2022,10,15000,36,27.14,F,Small Business,RENT,5 years,31410,36.61,11.89,12.9,0,11,1,Charged Off,DTI 30-43% (High),Grade E/F (Critical),0,0,0,0.4775,0.4457,6686
LC001044,2024-01-01,2024,1,15000,36,9.38,B,Auto,OWN,9 years,33098,37.32,56.1,12.9,0,9,0,Fully Paid,DTI 30-43% (High),Grade A/B (Prime),0,0,0,0.4532,0.1408,2112
LC001045,2022-10-01,2022,10,30000,36,17.82,D,Small Business,MORTGAGE,8 years,33361,39.77,27.74,7.6,0,8,0,Fully Paid,DTI 30-43% (High),Grade C/D (High),0,0,0,0.8993,0.2743,8228
LC001046,2020-12-01,2020,12,25000,60,8.44,B,Debt Consolidation,RENT,5 years,57255,24.93,19.34,13.4,0,14,0,Fully Paid,DTI 20-30% (Moderate),Grade A/B (Prime),0,0,0,0.4366,0.0775,1938
LC001047,2024-03-01,2024,3,10000,36,12.26,C,Debt Consolidation,MORTGAGE,4 years,39610,44.28,44.73,16.2,0,10,0,Fully Paid,DTI > 43% (Very High),Grade C/D (High),0,0,1,0.2525,0.2001,2001
LC001048,2021-05-01,2021,5,5000,36,12.18,C,Auto,MORTGAGE,5 years,69358,29.9,37.45,17.2,0,7,0,Fully Paid,DTI 20-30% (Moderate),Grade C/D (High),0,0,0,0.0721,0.1426,713
LC001049,2024-05-01,2024,5,10000,36,9.86,B,Debt Consolidation,RENT,3 years,18000,40.83,53.47,15.1,0,9,0,Fully Paid,DTI 30-43% (High),Grade A/B (Prime),0,0,0,0.5556,0.1433,1433
LC001050,2020-02-01,2020,2,35000,36,27.52,F,Auto,MORTGAGE,2 years,35298,39.76,34.66,2.3,1,8,1,Charged Off,DTI 30-43% (High),Grade E/F (Critical),0,1,0,0.9916,0.5021,17575
LC001051,2020-03-01,2020,3,20000,36,17.16,D,Small Business,MORTGAGE,6 years,30852,22.96,16.71,9.9,0,10,1,Charged Off,DTI 20-30% (Moderate),Grade C/D (High),0,0,0,0.6482,0.2001,4003
LC001052,2022-09-01,2022,9,20000,60,27.75,F,Auto,RENT,3 years,47659,22.71,16.98,17.6,0,10,0,Fully Paid,DTI 20-30% (Moderate),Grade E/F (Critical),0,0,0,0.4196,0.3838,7677
LC001053,2019-01-01,2019,1,20000,36,20.46,E,Education,OWN,3 years,41398,29.9,39.36,21.7,2,10,1,Charged Off,DTI 20-30% (Moderate),Grade E/F (Critical),0,0,0,0.4831,0.3386,6772
LC001054,2019-01-01,2019,1,15000,60,14.13,C,Vacation,MORTGAGE,8 years,80735,47.16,62.6,10.8,1,6,1,Charged Off,DTI > 43% (Very High),Grade C/D (High),0,0,1,0.1858,0.2614,3922
LC001055,2022-12-01,2022,12,30000,36,28.02,F,Home Improvement,MORTGAGE,10+ years,21383,25.69,28.98,27.5,1,12,0,Fully Paid,DTI 20-30% (Moderate),Grade E/F (Critical),0,0,0,1.403,0.4078,12233
LC001056,2020-02-01,2020,2,20000,60,6.99,A,Education,MORTGAGE,7 years,55423,29.85,56.26,12.9,0,6,0,Fully Paid,DTI 20-30% (Moderate),Grade A/B (Prime),0,0,0,0.3609,0.0752,1504
LC001057,2019-08-01,2019,8,5000,60,10.63,B,Home Improvement,RENT,< 1 year,71623,32.01,19.95,13.4,0,4,0,Fully Paid,DTI 30-43% (High),Grade A/B (Prime),0,0,0,0.0698,0.1058,529
LC001058,2021-06-01,2021,6,10000,36,5.07,A,Home Improvement,MORTGAGE,< 1 year,137081,22.95,21.78,8.9,0,14,0,Fully Paid,DTI 20-30% (Moderate),Grade A/B (Prime),0,0,0,0.0729,0.0471,471
LC001059,2022-04-01,2022,4,20000,36,8.78,B,Small Business,MORTGAGE,10+ years,42579,43.41,62.69,11.0,0,13,1,Charged Off,DTI > 43% (Very High),Grade A/B (Prime),0,0,1,0.4697,0.184,3680
LC001060,2021-07-01,2021,7,35000,36,8.61,B,Auto,RENT,3 years,63718,22.88,20.65,6.0,0,9,0,Fully Paid,DTI 20-30% (Moderate),Grade A/B (Prime),0,0,0,0.5493,0.0915,3203
LC001061,2020-06-01,2020,6,15000,36,9.78,B,Vacation,MORTGAGE,1 year,21984,33.21,42.21,12.2,0,10,0,Fully Paid,DTI 30-43% (High),Grade A/B (Prime),0,0,0,0.6823,0.1142,1714
LC001062,2022-09-01,2022,9,30000,36,20.56,E,Education,MORTGAGE,7 years,18000,34.44,25.68,28.8,0,4,0,Fully Paid,DTI 30-43% (High),Grade E/F (Critical),0,0,0,1.6667,0.3328,9983
LC001063,2023-06-01,2023,6,25000,36,9.81,B,Home Improvement,MORTGAGE,7 years,82651,36.86,40.15,14.8,0,8,1,Charged Off,DTI 30-43% (High),Grade A/B (Prime),0,0,0,0.3025,0.121,3026
LC001064,2023-02-01,2023,2,10000,60,10.3,B,Home Improvement,RENT,8 years,54026,31.58,90.78,6.9,3,4,0,Fully Paid,DTI 30-43% (High),Grade A/B (Prime),1,0,0,0.1851,0.2412,2412
LC001065,2021-03-01,2021,3,5000,60,13.36,C,Medical,MORTGAGE,3 years,97661,19.83,28.31,13.4,0,6,0,Fully Paid,DTI < 20% (Low),Grade C/D (High),0,0,0,0.0512,0.1078,539
LC001066,2020-09-01,2020,9,5000,36,6.63,A,Debt Consolidation,RENT,< 1 year,27263,43.53,52.87,16.5,0,11,0,Fully Paid,DTI > 43% (Very High),Grade A/B (Prime),0,0,1,0.1834,0.1169,584
LC001067,2022-07-01,2022,7,25000,60,20.61,E,Debt Consolidation,RENT,10+ years,70260,8.1,34.14,13.2,0,5,0,Fully Paid,DTI < 20% (Low),Grade E/F (Critical),0,0,0,0.3558,0.2804,7010
LC001068,2024-06-01,2024,6,10000,60,5.72,A,Home Improvement,RENT,3 years,137917,26.57,73.93,7.4,0,11,0,Fully Paid,DTI 20-30% (Moderate),Grade A/B (Prime),0,0,0,0.0725,0.1139,1139
LC001069,2022-05-01,2022,5,15000,36,27.8,F,Debt Consolidation,RENT,8 years,66826,29.63,32.54,13.3,0,7,1,Charged Off,DTI 20-30% (Moderate),Grade E/F (Critical),0,0,0,0.2245,0.4166,6249
LC001070,2020-03-01,2020,3,20000,36,17.42,D,Debt Consolidation,MORTGAGE,8 years,62211,32.49,55.2,15.4,1,12,0,Fully Paid,DTI 30-43% (High),Grade C/D (High),0,0,0,0.3215,0.2454,4907
LC001071,2019-04-01,2019,4,25000,36,9.17,B,Debt Consolidation,MORTGAGE,7 years,54409,22.67,11.42,19.7,1,5,0,Fully Paid,DTI 20-30% (Moderate),Grade A/B (Prime),0,0,0,0.4595,0.0757,1892
LC001072,2024-01-01,2024,1,5000,36,6.07,A,Debt Consolidation,RENT,3 years,24700,33.98,29.19,21.6,0,3,0,Fully Paid,DTI 30-43% (High),Grade A/B (Prime),0,0,0,0.2024,0.0729,365
LC001073,2023-05-01,2023,5,15000,36,19.78,E,Debt Consolidation,OWN,3 years,106701,32.12,63.65,17.5,0,8,1,Charged Off,DTI 30-43% (High),Grade E/F (Critical),0,0,0,0.1406,0.3508,5262
LC001074,2021-07-01,2021,7,20000,36,15.94,D,Vacation,OWN,7 years,39918,35.9,68.34,19.7,0,9,0,Fully Paid,DTI 30-43% (High),Grade C/D (High),0,0,0,0.501,0.2733,5466
LC001075,2021-02-01,2021,2,20000,60,18.33,D,Home Improvement,OWN,10+ years,69720,36.68,33.75,9.2,1,6,0,Fully Paid,DTI 30-43% (High),Grade C/D (High),0,0,0,0.2869,0.2691,5382
LC001076,2024-11-01,2024,11,30000,60,15.78,D,Home Improvement,RENT,10+ years,24797,33.49,40.52,18.5,0,5,0,Fully Paid,DTI 30-43% (High),Grade C/D (High),0,0,0,1.2098,0.227,6809
LC001077,2020-12-01,2020,12,10000,36,6.55,A,Medical,MORTGAGE,1 year,30040,38.25,36.94,21.2,0,5,0,Fully Paid,DTI 30-43% (High),Grade A/B (Prime),0,0,0,0.3329,0.09,900
LC001078,2022-08-01,2022,8,30000,60,10.01,B,Debt Consolidation,OWN,2 years,111029,31.81,58.1,7.4,0,9,0,Fully Paid,DTI 30-43% (High),Grade A/B (Prime),0,0,0,0.2702,0.1392,4177
LC001079,2023-12-01,2023,12,25000,60,5.4,A,Vacation,MORTGAGE,10+ years,45540,19.8,47.2,19.3,0,7,0,Fully Paid,DTI < 20% (Low),Grade A/B (Prime),0,0,0,0.549,0.02,500
LC001080,2021-10-01,2021,10,20000,36,21.55,E,Education,RENT,9 years,112043,18.63,41.8,22.7,0,6,0,Fully Paid,DTI < 20% (Low),Grade E/F (Critical),0,0,0,0.1785,0.275,5500
LC001081,2019-06-01,2019,6,25000,60,17.55,D,Debt Consolidation,RENT,10+ years,52098,31.42,45.28,18.3,0,9,0,Fully Paid,DTI 30-43% (High),Grade C/D (High),0,0,0,0.4799,0.2187,5467
LC001082,2020-10-01,2020,10,15000,36,9.21,B,Home Improvement,MORTGAGE,2 years,21570,19.14,44.35,11.2,0,10,0,Fully Paid,DTI < 20% (Low),Grade A/B (Prime),0,0,0,0.6954,0.0644,966
LC001083,2024-03-01,2024,3,10000,36,8.69,A,Auto,OWN,7 years,84629,10.64,33.5,19.7,0,6,0,Fully Paid,DTI < 20% (Low),Grade A/B (Prime),0,0,0,0.1182,0.02,200
LC001084,2022-02-01,2022,2,25000,36,7.87,B,Vacation,MORTGAGE,8 years,40338,43.69,23.45,18.1,1,8,0,Fully Paid,DTI > 43% (Very High),Grade A/B (Prime),0,0,1,0.6198,0.1598,3994
LC001085,2024-08-01,2024,8,20000,36,10.05,B,Home Improvement,MORTGAGE,8 years,76830,47.5,42.44,12.0,0,6,0,Fully Paid,DTI > 43% (Very High),Grade A/B (Prime),0,0,1,0.2603,0.172,3440
LC001086,2022-04-01,2022,4,25000,36,16.66,D,Small Business,RENT,5 years,54864,20.1,51.75,35.0,0,3,0,Fully Paid,DTI 20-30% (Moderate),Grade C/D (High),0,0,0,0.4557,0.1769,4422
LC001087,2024-07-01,2024,7,15000,36,17.42,D,Debt Consolidation,MORTGAGE,< 1 year,25045,23.64,33.29,6.3,0,11,0,Fully Paid,DTI 20-30% (Moderate),Grade C/D (High),0,0,0,0.5989,0.2137,3205
LC001088,2024-07-01,2024,7,35000,60,21.75,E,Vacation,MORTGAGE,7 years,58815,20.95,12.74,16.6,1,5,1,Charged Off,DTI 20-30% (Moderate),Grade E/F (Critical),0,0,0,0.5951,0.2908,10178
LC001089,2022-10-01,2022,10,20000,60,12.21,C,Debt Consolidation,RENT,3 years,162448,31.43,54.8,4.8,1,7,0,Fully Paid,DTI 30-43% (High),Grade C/D (High),0,0,0,0.1231,0.2009,4018
LC001090,2021-09-01,2021,9,5000,36,6.58,A,Vacation,MORTGAGE,5 years,69320,19.81,43.38,15.8,0,13,0,Fully Paid,DTI < 20% (Low),Grade A/B (Prime),0,0,0,0.0721,0.02,100
LC001091,2023-10-01,2023,10,15000,36,15.31,D,Medical,OWN,10+ years,52641,22.89,34.56,12.1,0,7,0,Fully Paid,DTI 20-30% (Moderate),Grade C/D (High),0,0,0,0.285,0.1933,2899
LC001092,2023-08-01,2023,8,25000,60,17.28,D,Small Business,RENT,5 years,92751,35.57,57.13,21.1,0,5,0,Fully Paid,DTI 30-43% (High),Grade C/D (High),0,0,0,0.2695,0.2495,6238
LC001093,2022-12-01,2022,12,30000,36,13.04,C,Small Business,MORTGAGE,10+ years,60194,16.53,19.68,13.2,0,5,0,Fully Paid,DTI < 20% (Low),Grade C/D (High),0,0,0,0.4984,0.1084,3252
LC001094,2024-08-01,2024,8,20000,36,17.31,D,Debt Consolidation,RENT,2 years,60160,27.91,57.43,18.5,0,3,1,Charged Off,DTI 20-30% (Moderate),Grade C/D (High),0,0,0,0.3324,0.2195,4390
LC001095,2020-07-01,2020,7,35000,36,13.65,C,Debt Consolidation,MORTGAGE,8 years,31388,15.22,18.4,12.9,0,5,0,Fully Paid,DTI < 20% (Low),Grade C/D (High),0,0,0,1.1151,0.1093,3825
LC001096,2021-10-01,2021,10,10000,60,13.09,C,Debt Consolidation,MORTGAGE,10+ years,60896,17.62,34.72,17.3,0,9,0,Fully Paid,DTI < 20% (Low),Grade C/D (High),0,0,0,0.1642,0.103,1030
LC001097,2023-05-01,2023,5,15000,60,12.92,C,Debt Consolidation,MORTGAGE,1 year,90919,14.32,2.12,23.9,1,7,0,Fully Paid,DTI < 20% (Low),Grade C/D (High),0,0,0,0.165,0.115,1725
LC001098,2020-09-01,2020,9,35000,60,5.7,A,Education,MORTGAGE,< 1 year,35667,27.71,23.13,15.9,3,10,0,Fully Paid,DTI 20-30% (Moderate),Grade A/B (Prime),0,0,0,0.9813,0.0838,2934
LC001099,2022-12-01,2022,12,35000,36,5.83,A,Home Improvement,RENT,5 years,110442,27.59,41.25,10.8,1,6,0,Fully Paid,DTI 20-30% (Moderate),Grade A/B (Prime),0,0,0,0.3169,0.072,2519
LC001100,2024-11-01,2024,11,25000,60,7.35,A,Debt Consolidation,OWN,1 year,51748,9.55,19.51,12.2,0,10,0,Fully Paid,DTI < 20% (Low),Grade A/B (Prime),0,0,0,0.4831,0.0254,635
LC001101,2023-07-01,2023,7,30000,36,17.95,D,Vacation,MORTGAGE,9 years,34756,26.05,61.87,5.0,0,11,0,Fully Paid,DTI 20-30% (Moderate),Grade C/D (High),0,0,0,0.8632,0.2509,7528
LC001102,2024-12-01,2024,12,5000,36,9.01,B,Auto,RENT,10+ years,89216,14.24,19.06,20.2,0,8,0,Fully Paid,DTI < 20% (Low),Grade A/B (Prime),0,0,0,0.056,0.053,265
LC001103,2023-11-01,2023,11,30000,36,12.84,C,Auto,MORTGAGE,5 years,46939,47.17,30.46,11.3,1,11,0,Fully Paid,DTI > 43% (Very High),Grade C/D (High),0,0,1,0.6391,0.2348,7043
LC001104,2023-03-01,2023,3,15000,60,26.08,F,Vacation,MORTGAGE,3 years,79202,36.76,49.72,15.3,0,7,0,Fully Paid,DTI 30-43% (High),Grade E/F (Critical),0,0,0,0.1894,0.44,6601
LC001105,2022-12-01,2022,12,10000,36,10.14,B,Debt Consolidation,RENT,5 years,46823,32.92,44.23,4.5,0,10,0,Fully Paid,DTI 30-43% (High),Grade A/B (Prime),0,0,0,0.2136,0.1362,1362
LC001106,2020-06-01,2020,6,10000,36,13.33,C,Home Improvement,OWN,9 years,52580,37.09,70.74,13.6,1,7,0,Fully Paid,DTI 30-43% (High),Grade C/D (High),0,0,0,0.1902,0.229,2290
LC001107,2022-03-01,2022,3,15000,60,18.35,D,Education,OWN,< 1 year,69340,24.81,35.36,23.3,0,8,0,Fully Paid,DTI 20-30% (Moderate),Grade C/D (High),0,0,0,0.2163,0.1922,2884
LC001108,2020-06-01,2020,6,10000,60,8.5,B,Medical,RENT,7 years,62658,35.74,80.8,16.0,0,9,0,Fully Paid,DTI 30-43% (High),Grade A/B (Prime),1,0,0,0.1596,0.1776,1776
LC001109,2024-08-01,2024,8,15000,60,6.1,A,Debt Consolidation,OWN,7 years,19975,19.59,31.08,35.0,0,5,1,Charged Off,DTI < 20% (Low),Grade A/B (Prime),0,0,0,0.7509,0.02,300
LC001110,2021-09-01,2021,9,10000,36,9.39,B,Education,RENT,7 years,30927,26.65,18.0,11.3,0,7,0,Fully Paid,DTI 20-30% (Moderate),Grade A/B (Prime),0,0,0,0.3233,0.0907,907
LC001111,2020-02-01,2020,2,10000,60,6.92,A,Debt Consolidation,RENT,3 years,86224,17.11,41.67,15.6,0,13,0,Fully Paid,DTI < 20% (Low),Grade A/B (Prime),0,0,0,0.116,0.02,200
LC001112,2023-06-01,2023,6,20000,60,26.63,F,Debt Consolidation,RENT,8 years,50713,52.27,27.86,14.4,1,4,0,Fully Paid,DTI > 43% (Very High),Grade E/F (Critical),0,0,1,0.3944,0.5159,10318
LC001113,2022-03-01,2022,3,15000,36,20.7,E,Small Business,OWN,1 year,41695,11.53,34.04,20.4,0,9,0,Fully Paid,DTI < 20% (Low),Grade E/F (Critical),0,0,0,0.3598,0.275,4125
LC001114,2019-07-01,2019,7,15000,36,17.51,D,Small Business,MORTGAGE,2 years,27466,17.59,44.06,14.1,1,9,0,Fully Paid,DTI < 20% (Low),Grade C/D (High),0,0,0,0.5461,0.1877,2816
LC001115,2020-11-01,2020,11,25000,36,21.98,E,Small Business,RENT,10+ years,31575,18.98,20.67,11.0,1,7,0,Fully Paid,DTI < 20% (Low),Grade E/F (Critical),0,0,0,0.7918,0.299,7475
LC001116,2024-04-01,2024,4,35000,36,20.67,E,Debt Consolidation,RENT,9 years,19714,43.76,9.91,15.0,1,9,1,Charged Off,DTI > 43% (Very High),Grade E/F (Critical),0,0,1,1.7754,0.382,13371
LC001117,2022-05-01,2022,5,25000,36,10.28,B,Auto,MORTGAGE,< 1 year,51501,25.79,20.28,16.1,1,8,0,Fully Paid,DTI 20-30% (Moderate),Grade A/B (Prime),0,0,0,0.4854,0.0882,2204
LC001118,2020-10-01,2020,10,15000,36,22.34,E,Debt Consolidation,RENT,3 years,40166,19.58,79.7,19.1,0,6,0,Fully Paid,DTI < 20% (Low),Grade E/F (Critical),1,0,0,0.3734,0.3344,5016
LC001119,2022-06-01,2022,6,25000,36,12.91,C,Debt Consolidation,OWN,2 years,33413,33.75,45.26,16.1,0,7,0,Fully Paid,DTI 30-43% (High),Grade C/D (High),0,0,0,0.7482,0.158,3950
